Feature,Importance
Has furniture,0.0005158617798769464
Rooms,0.005736646613867605
Shower Rooms,0.007539778571695023
Autonom Heating,0.011678820658326962
Has double glazed windows,0.013057880476616669
Has underfloor heating,0.02024662154020274
Housing stock_Secundar (Vechi),0.02059790046335668
Sector,0.03185256895836459
Total Floors,0.03883823813436793
Floor,0.040003897355832777
Has AC,0.08135553321403137
Area m²,0.7285762522334608
